#Npore	fugacity[kPa]	chempot[K]
        351.97	        18.394	       -968.17
         350.7	        18.198	       -969.11
        349.45	        18.004	       -970.05
        348.22	        17.812	       -970.98
        347.01	        17.622	       -971.92
        345.82	        17.434	       -972.86
        344.66	         17.25	       -973.78
        343.53	        17.072	       -974.69
        342.42	        16.896	       -975.59
        341.33	        16.722	        -976.5
        340.24	         16.55	        -977.4
        339.16	        16.379	        -978.3
         338.1	         16.21	       -979.21
        337.04	        16.043	       -980.11
        335.99	        15.878	       -981.02
        334.94	        15.714	       -981.92
        333.91	        15.552	       -982.83
        332.88	        15.392	       -983.73
        331.86	        15.233	       -984.64
        330.84	        15.076	       -985.54
        329.83	        14.921	       -986.45
        328.82	        14.767	       -987.35
        327.82	        14.615	       -988.25
        327.66	        14.592	       -988.39
        327.67	        14.592	       -988.39
        327.68	        14.593	       -988.38
        327.68	        14.594	       -988.38
        327.69	        14.595	       -988.37
        327.69	        14.596	       -988.37
         327.7	        14.597	       -988.36
        327.71	        14.598	       -988.36
        327.71	        14.599	       -988.35
        327.72	          14.6	       -988.34
        329.35	        14.847	       -986.88
        331.31	        15.149	       -985.12
         333.3	        15.457	       -983.36
        335.31	        15.772	        -981.6
        337.35	        16.092	       -979.85
        339.38	        16.414	       -978.12
        341.07	        16.682	        -976.7
        342.79	        16.954	       -975.29
        344.54	        17.231	       -973.88
        346.32	        17.512	       -972.46
        348.14	        17.798	       -971.05
        349.99	        18.088	       -969.64
        351.76	        18.362	       -968.33
        353.57	        18.641	       -967.01
        355.42	        18.924	        -965.7
        357.32	        19.211	       -964.38
        359.26	        19.503	       -963.07
        361.39	         19.82	       -961.66
        365.37	        20.401	       -959.14
        369.58	        20.999	       -956.61
        374.05	        21.614	       -954.09
        378.84	        22.248	       -951.57
         380.4	        22.448	       -950.79
        381.87	        22.635	       -950.07
        383.38	        22.823	       -949.34
        384.92	        23.013	       -948.62
         386.5	        23.204	        -947.9
        388.11	        23.397	       -947.17
        390.07	        23.626	       -946.32
        400.26	         24.56	       -942.94
        674.33	         25.53	       -939.56
        677.35	        26.534	       -936.19
        677.91	        26.844	       -935.18
        678.46	        27.157	       -934.16
           679	        27.474	       -933.15
        679.53	        27.795	       -932.14
        680.06	        28.119	       -931.12
        680.82	        28.607	       -929.62
        682.16	        29.516	       -926.89
        683.43	        30.454	       -924.16
        684.64	        31.421	       -921.43
         685.8	        32.419	        -918.7
         686.9	        33.449	       -915.97
        687.95	        34.511	       -913.24
        688.97	        35.608	       -910.51
        689.95	        36.739	       -907.78
        691.06	        38.101	        -904.6
         692.2	        39.617	        -901.2
        693.33	        41.193	       -897.79
        694.43	        42.831	       -894.39
        695.52	        44.535	       -890.98
         696.6	        46.306	       -887.58
        697.63	        48.075	        -884.3
        698.61	        49.802	       -881.22
        699.58	        51.591	       -878.14
        700.55	        53.443	       -875.06
        701.52	        55.363	       -871.98
        702.49	        57.351	        -868.9
        703.45	        59.411	       -865.82
        704.41	        61.545	       -862.74
        705.36	        63.755	       -859.66
         706.3	        66.045	       -856.58
        707.22	        68.417	        -853.5
        708.12	        70.874	       -850.42
           709	        73.419	       -847.34
        710.01	        76.549	       -843.69
        711.05	        80.054	       -839.79
        712.03	        83.719	       -835.88
        712.95	        87.553	       -831.97
        713.81	        91.561	       -828.06
        714.59	        95.754	       -824.15
        715.29	        100.14	       -820.24
        715.72	        103.15	       -817.66
        716.08	        105.91	       -815.35
        716.41	        108.75	       -813.04
        717.43	        119.65	       -804.71
