#fugacity[kPa]	canonical_work_function
        31.5923	       -1354.83
        31.5906	        -1354.8
        31.5874	       -1354.74
        31.5841	       -1354.69
        31.5809	       -1354.64
        31.5776	       -1354.58
        31.5744	       -1354.53
        31.5711	       -1354.48
        31.5679	       -1354.42
        31.5646	       -1354.37
        31.5614	       -1354.32
         31.533	       -1353.85
        31.4975	       -1353.25
         31.462	       -1352.66
        31.4266	       -1352.07
        31.3912	       -1351.47
        31.3559	       -1350.88
        31.3206	       -1350.28
        31.2853	       -1349.68
        31.2501	       -1349.08
        31.2149	       -1348.48
        31.1797	       -1347.88
        31.1171	        -1346.8
        31.0472	        -1345.6
        30.9774	       -1344.39
        30.9078	       -1343.18
        30.8384	       -1341.97
        30.7691	       -1340.75
           30.7	       -1339.54
         30.631	       -1338.32
        30.5622	        -1337.1
        30.4935	       -1335.87
         30.425	       -1334.65
        30.3567	       -1333.42
        30.2128	       -1330.82
        30.0416	       -1327.71
        29.8713	       -1324.58
        29.7019	       -1321.46
        29.5336	       -1318.33
        29.3662	       -1315.19
        29.1997	       -1312.04
        29.0342	        -1308.9
        28.8696	       -1305.74
         28.706	       -1302.58
        28.5432	       -1299.41
        28.3814	       -1296.24
        28.2206	       -1293.06
        28.0606	       -1289.88
        27.9015	       -1286.69
        27.7434	        -1283.5
        27.5797	       -1280.16
        27.3735	       -1275.93
        27.1688	       -1271.69
        26.9657	       -1267.44
         26.764	       -1263.19
        26.5639	       -1258.93
        26.3653	       -1254.66
        26.1682	       -1250.38
        25.9725	       -1246.09
        25.7783	        -1241.8
        25.5856	        -1237.5
        25.3943	       -1233.19
        25.2044	       -1228.88
         25.016	       -1224.55
        24.8289	       -1220.22
        24.6433	       -1215.88
         24.459	       -1211.54
        24.2761	       -1207.19
        24.0946	       -1202.83
        23.9199	       -1198.59
        23.7539	       -1194.53
        23.5891	       -1190.46
        23.4254	       -1186.39
        23.2629	       -1182.31
        23.1014	       -1178.22
        22.9411	       -1174.13
        22.7819	       -1170.03
        22.6238	       -1165.92
        22.4668	        -1161.8
        22.3109	       -1157.68
        22.1561	       -1153.55
        22.0024	       -1149.41
        21.8497	       -1145.27
        21.6981	       -1141.12
        21.5475	       -1136.96
        21.3758	       -1132.18
        21.1477	       -1125.75
         20.922	       -1119.32
        20.6987	       -1112.87
        20.4778	       -1106.41
        20.2593	       -1099.94
        20.0431	       -1093.46
        19.8292	       -1086.97
        19.6176	       -1080.46
        19.4082	       -1073.95
        19.2011	       -1067.43
        18.9961	       -1060.89
        18.7934	       -1054.35
        18.5929	       -1047.79
        18.3944	       -1041.23
        18.1981	       -1034.65
        18.0039	       -1028.06
        17.8118	       -1021.46
        17.6217	       -1014.85
        17.4336	       -1008.23
          17.25	       -1001.69
        17.0722	       -995.277
        16.8963	       -988.853
        16.7221	       -982.419
        16.5497	       -975.975
        16.3791	       -969.519
        16.2103	       -963.054
        16.0432	       -956.578
        15.8779	       -950.092
        15.7142	       -943.596
        15.5522	       -937.089
        15.3919	       -930.572
        15.2333	       -924.044
        15.0762	       -917.506
        14.9208	       -910.958
         14.767	       -904.399
        14.6148	        -897.83
        14.5915	       -896.817
        14.5924	       -896.857
        14.5933	       -896.896
        14.5942	       -896.935
        14.5951	       -896.975
         14.596	       -897.015
        14.5969	       -897.054
        14.5978	       -897.094
        14.5987	       -897.134
        14.5996	       -897.173
        14.8473	       -908.021
        15.1492	       -921.025
        15.4572	       -934.049
        15.7715	       -947.094
        16.0922	       -960.158
        16.4141	       -973.033
        16.6821	       -983.574
        16.9544	       -994.132
        17.2312	       -1004.71
        17.5125	        -1015.3
        17.7984	        -1025.9
        18.0878	       -1036.48
        18.3623	       -1046.38
         18.641	       -1056.29
         18.924	       -1066.22
        19.2112	       -1076.16
        19.5028	       -1086.12
        19.8197	       -1096.79
        20.4007	       -1115.95
        20.9988	       -1135.13
        21.6145	       -1154.35
        22.2481	        -1173.6
        22.4479	       -1179.56
        22.6346	       -1185.09
        22.8228	       -1190.63
        23.0125	       -1196.18
        23.2038	       -1201.73
        23.3968	        -1207.3
        23.6258	       -1213.85
        24.5597	       -1239.98
        25.5304	       -1266.15
        26.5338	       -1292.21
        26.8436	       -1300.06
         27.157	       -1307.93
         27.474	       -1315.81
        27.7947	       -1323.71
        28.1192	       -1331.61
        28.6074	       -1343.35
        29.5161	       -1364.71
        30.4536	        -1386.1
         31.421	       -1407.52
         32.419	       -1428.97
        33.4488	       -1450.45
        34.5113	       -1471.96
        35.6075	       -1493.51
        36.7386	       -1515.09
        38.1014	       -1540.25
        39.6169	       -1567.25
        41.1927	       -1594.28
        42.8313	       -1621.35
         44.535	       -1648.46
        46.3064	        -1675.6
        48.0753	       -1701.73
        49.8019	       -1726.36
        51.5906	       -1751.03
        53.4434	       -1775.73
        55.3628	       -1800.46
        57.3512	       -1825.23
         59.411	       -1850.04
        61.5447	       -1874.88
        63.7551	       -1899.75
        66.0448	       -1924.66
        68.4168	       -1949.61
         70.874	       -1974.59
        73.4194	       -1999.61
        76.5491	       -2029.25
        80.0541	       -2061.08
        83.7195	       -2092.95
        87.5527	       -2124.88
        91.5615	       -2156.84
        95.7538	       -2188.85
        100.138	       -2220.91
        103.149	       -2242.15
        105.915	       -2261.15
        108.754	       -2280.17
        119.646	       -2348.89
